Contiguous U.S., Average Temperature
Units: Degrees Fahrenheit
Missing: -99
Date,Value
200001,33.57
200002,39.78
200003,46.04
200004,52.59
200005,63.14
200006,69.03
200007,73.87
200008,74.05
200009,65.57
200010,55.09
200011,38.03
200012,28.44
200101,31.35
200102,33.98
200103,41.49
200104,53.08
200105,62.82
200106,69.24
200107,74.48
200108,74.30
200109,65.70
200110,54.37
200111,47.41
200112,36.12
200201,34.48
200202,36.39
200203,39.54
200204,53.49
200205,59.29
200206,70.86
200207,75.85
200208,72.86
200209,66.85
200210,51.84
200211,41.97
200212,35.08
200301,32.81
200302,32.79
200303,43.30
200304,51.89
200305,60.98
200306,68.05
200307,75.47
200308,74.66
200309,64.96
200310,56.55
200311,42.35
200312,35.29
200401,30.34
200402,33.57
200403,47.41
200404,52.68
200405,61.92
200406,68.09
200407,72.90
200408,70.16
200409,65.66
200410,55.36
200411,43.99
200412,35.06
200501,33.39
200502,37.94
200503,42.31
200504,52.27
200505,59.56
200506,69.21
200507,75.31
200508,73.20
200509,67.37
200510,55.38
200511,45.01
200512,32.70
200601,38.93
200602,34.83
200603,42.62
200604,55.26
200605,62.28
200606,70.75
200607,76.41
200608,73.40
200609,63.30
200610,52.59
200611,44.08
200612,36.57
200701,31.35
200702,32.41
200703,47.66
200704,50.54
200705,62.33
200706,69.87
200707,74.70
200708,74.64
200709,66.43
200710,56.68
200711,44.01
200712,33.22
200801,30.27
200802,34.70
200803,41.86
200804,50.40
200805,59.36
200806,69.60
200807,74.08
200808,72.28
200809,65.21
200810,53.98
200811,43.92
200812,31.87
200901,31.05
200902,36.77
200903,42.87
200904,50.92
200905,61.65
200906,68.54
200907,72.63
200908,71.89
200909,66.38
200910,50.50
200911,45.84
200912,29.64
201001,30.67
201002,31.80
201003,43.57
201004,53.24
201005,59.88
201006,70.48
201007,74.71
201008,74.05
201009,66.49
201010,56.14
201011,42.31
201012,32.47
201101,29.71
201102,33.04
201103,43.07
201104,51.96
201105,59.13
201106,69.82
201107,76.14
201108,75.00
201109,66.09
201110,55.09
201111,43.75
201112,35.40
201201,36.12
201202,37.51
201203,50.41
201204,54.68
201205,63.45
201206,70.54
201207,76.77
201208,73.80
201209,66.31
201210,53.89
201211,44.01
201212,35.92
201301,32.25
201302,34.77
201303,40.91
201304,49.68
201305,60.85
201306,70.39
201307,74.21
201308,72.99
201309,66.96
201310,53.44
201311,41.61
201312,31.06
201401,30.56
201402,32.13
201403,40.51
201404,51.69
201405,61.27
201406,69.58
201407,73.29
201408,72.25
201409,66.20
201410,56.93
201411,39.25
201412,36.81
201501,33.08
201502,32.99
201503,45.39
201504,53.24
201505,60.84
201506,71.37
201507,73.92
201508,72.95
201509,68.54
201510,57.24
201511,44.60
201512,38.66
201601,32.22
201602,39.47
201603,47.50
201604,53.19
201605,60.33
201606,71.76
201607,75.22
201608,73.53
201609,67.12
201610,57.72
201611,47.97
201612,32.95
201701,33.57
201702,41.18
201703,46.15
201704,53.80
201705,60.57
201706,70.36
201707,75.70
201708,72.01
201709,66.27
201710,55.69
201711,45.03
201712,34.29
201801,32.16
201802,35.51
201803,42.73
201804,49.03
201805,65.52
201806,71.55
201807,75.45
201808,73.51
201809,67.53
201810,53.71
201811,40.01
201812,35.51
201901,32.56
201902,31.84
201903,40.30
201904,52.84
201905,59.49
201906,68.70
201907,74.59
201908,73.74
201909,68.43
201910,52.05
201911,41.09
201912,36.43
202001,35.51
202002,36.14
202003,46.08
202004,50.86
202005,60.89
202006,70.29
202007,75.67
