,Cattle Prices,,,,,,,Hog prices,,Sheep & lamb prices,,,
,TX/OK Steers,"NE Steers,",   Steers:  Med. #1,   Steers:  Med. #1,   Steers:  Med. #1,   Heifers:  Med. #1,   Heifers:  Med. #1,  Barrows and gilts,  Sows,"San Angelo, TX","St. Joseph, MO","San Angelo, TX","San Angelo, TX"
NOTE: Zeros indicate missing data or no quotes.,35-65 percent Choice,65-80 percent Choice,     500-550 lb,     600-650 lb,     750-800 lb,     450-500 lb,     700-750 lb,    National base 51-52% lean (live equivalent = carcass x .74),,"     Slaughter lambs, Choice",,"     Ewes, Good","     Feeder lambs, Choice"
Period,$/cwt,$/cwt,$/cwt,$/cwt,$/cwt,$/cwt,$/cwt,$/cwt,$/cwt,$/cwt,,$/cwt,$/cwt
Jan-00,69.07,67.97,102.24,92.92,86.80,92.20,81.49,38.32,24.60,73.71,0,45.67,84.63
Feb-00,68.88,68.24,107.64,94.63,83.81,97.55,79.95,41.58,25.35,76.83,0,51.92,99.54
Mar-00,71.74,71.74,110.16,98.32,83.75,100.95,79.68,43.52,26.86,78.17,0,49.92,99.54
Apr-00,73.13,73.52,104.82,96.18,84.15,99.82,80.17,49.59,30.33,78.25,0,47.08,99.33
May-00,71.28,71.66,100.27,94.31,83.42,93.41,79.18,50.21,33.17,89.65,0,0.00,100.45
Jun-00,69.41,69.59,100.62,95.29,86.72,95.26,83.18,51.48,33.70,78.30,0,44.86,91.14
Jul-00,67.22,66.46,109.12,97.94,89.25,99.98,87.24,50.45,32.31,84.17,0,48.00,92.33
Aug-00,65.02,64.69,100.27,94.34,85.85,93.21,82.25,45.35,32.55,82.20,0,41.40,91.70
Sep-00,65.43,65.14,96.00,89.27,83.63,87.19,81.21,43.49,30.72,82.00,0,43.43,93.89
Oct-00,68.51,68.54,94.08,89.47,85.96,88.71,82.20,43.09,31.45,77.50,0,43.18,92.00
Nov-00,72.19,72.05,99.37,93.73,89.79,95.75,85.40,37.84,26.90,76.70,0,45.85,103.65
Dec-00,76.41,76.18,100.43,95.29,90.53,96.24,84.76,41.40,29.59,75.33,0,47.17,102.17
Jan-01,78.79,78.49,105.08,92.96,87.23,96.36,82.47,38.61,27.68,81.25,0,51.88,109.63
Feb-01,79.40,79.58,107.23,97.64,86.05,100.24,82.24,41.47,29.48,87.00,0,56.75,117.00
Mar-01,79.44,79.26,110.98,99.13,87.19,104.57,84.15,48.41,34.37,82.63,0,56.94,115.44
Apr-01,76.50,78.85,110.00,103.93,89.29,103.98,84.65,49.28,39.38,83.30,0,47.15,112.90
May-01,74.93,75.56,104.73,97.02,88.00,100.48,84.72,52.34,38.44,86.07,0,47.00,99.43
Jun-01,72.64,74.81,106.89,98.87,91.13,102.01,88.67,54.53,41.88,75.21,0,43.89,81.29
Jul-01,70.71,71.74,104.94,97.80,91.32,102.56,88.29,53.75,40.75,69.82,0,44.07,78.50
Aug-01,69.07,70.38,102.39,95.38,90.43,95.33,86.70,52.47,40.75,54.47,0,40.25,73.19
Sep-01,68.75,68.44,101.65,97.71,91.64,93.32,85.84,46.93,33.12,56.50,0,38.04,69.13
Oct-01,66.30,66.66,95.00,88.00,88.02,87.13,83.29,41.27,31.60,57.67,0,38.50,68.50
Nov-01,63.60,65.41,96.42,86.38,83.63,91.56,79.39,35.49,25.01,59.00,0,39.83,70.67
Dec-01,63.62,63.33,103.17,89.30,84.44,93.58,79.77,35.14,0.00,71.60,0,43.60,76.90
Jan-02,64.00,67.25,99.94,87.46,81.65,94.08,78.20,40.16,27.79,65.85,61.29,41.10,76.25
Feb-02,71.24,70.72,104.11,90.12,82.04,95.31,78.09,40.65,29.45,70.00,62.45,39.19,84.25
Mar-02,71.97,72.59,102.98,91.43,80.03,95.23,75.43,37.47,29.50,64.00,65.27,36.00,78.00
Apr-02,67.63,67.79,97.96,92.00,77.33,90.50,73.36,33.01,24.39,65.15,61.81,40.10,85.00
May-02,65.49,65.32,95.99,88.49,76.73,88.62,73.68,34.72,25.41,64.06,62.49,38.00,78.83
Jun-02,63.85,63.64,90.76,83.73,76.81,83.30,73.44,37.36,21.11,68.75,75.38,34.83,74.75
Jul-02,63.57,62.49,89.78,82.35,77.52,82.61,74.78,40.60,21.04,75.83,82.39,35.42,79.33
Aug-02,63.41,62.96,87.89,83.99,78.68,81.08,76.44,34.00,20.87,74.35,81.42,36.55,77.30
Sep-02,65.63,64.43,87.50,83.30,80.42,80.77,76.33,26.98,15.38,73.69,78.40,35.38,76.13
Oct-02,65.64,64.93,89.71,83.81,80.47,82.97,77.20,31.69,26.33,76.20,79.86,37.25,84.65
Nov-02,70.21,70.12,93.27,83.44,83.55,83.99,79.72,29.99,20.96,83.00,83.99,42.00,93.67
Dec-02,73.11,72.24,96.09,85.97,85.22,85.93,81.91,32.35,22.28,86.88,86.20,45.31,97.00
