Date,Cattle,--Steers,--Heifers,--Beef cows,--Dairy cows,--Bulls and stags,Cattle,--Steers,--Heifers
7/1/2020,2918.4,1509.717429,843.4169889,277.5403085,238.0226426,49.7026314,2865.4,1482.3,828.1
6/1/2020,2876.3,1525.452773,761.5535104,305.9676619,231.5155308,51.81052408,2820.2,1495.7,746.7
5/1/2020,2277.5,1123.430034,618.2298088,256.391676,239.0734533,40.37502812,2222.5,1096.2,603.3
4/1/2020,2239.1,1048.104595,643.3666347,224.922612,285.781618,36.92453977,2189.1,1024.7,629
3/1/2020,2921.7,1400.070184,915.3562304,274.0173659,292.7188478,39.53737216,2874.6,1377.6,900.6
2/1/2020,2578,1256.86511,758.7489268,255.3530779,270.1767555,36.85613012,2539.1,1237.8,747.3
1/1/2020,2899.4,1371.277437,884.3870927,299.7732955,303.227139,40.73503609,2854.2,1349.9,870.6
12/1/2019,2751.1,1309.323195,844.0114355,287.5237226,269.1668289,41.07481752,2712.6,1291,832.2
11/1/2019,2774.2,1332.978167,835.8478518,298.0754859,259.5618223,47.73667251,2737.2,1315.2,824.7
10/1/2019,2977.6,1392.83702,928.2866439,313.3298154,291.1453725,52.00114833,2926,1368.7,912.2
9/1/2019,2676,1277.92736,830.6578618,258.2666515,259.5869293,49.56119777,2634.9,1258.3,817.9
8/1/2019,2926,1461.986561,878.0432253,265.3182322,270.1827376,50.46924356,2887.2,1442.6,866.4
7/1/2019,2939.6,1511.930283,853.2395094,266.555061,260.0734789,47.80166747,2902.6,1492.9,842.5
6/1/2019,2808,1477.019359,783.9439468,262.5654435,234.4732736,49.99797746,2768.8,1456.4,773
5/1/2019,2938.9,1543.989155,812.887234,271.7056071,261.5711197,48.74688438,2899.9,1523.5,802.1
4/1/2019,2829.4,1436.817369,801.3995482,271.1914157,272.4088855,47.58278112,2788.8,1416.3,789.9
3/1/2019,2648.7,1240.302955,809.2065762,251.7351115,306.9544263,40.50093125,2609.4,1221.8,797.2
2/1/2019,2454.4,1174.779868,734.8977483,228.6777483,283.3328477,32.71178808,2416,1156.4,723.4
1/1/2019,2831.4,1376.877502,850.9444436,261.8994185,303.2626561,38.4159799,2786,1354.7,837.3
12/1/2018,2580.2,1271.539599,764.2219733,240.4738286,264.916761,39.04783805,2544,1253.6,753.5
11/1/2018,2800.8,1391.527403,835.2409254,260.1952428,271.754969,42.08145976,2762.1,1372.2,823.7
10/1/2018,2959.5,1474.865665,856.3867419,284.0037306,293.2636157,50.98024687,2908.4,1449.2,841.6
9/1/2018,2617.3,1332.065007,753.8514768,235.5722375,251.3176868,44.49359208,2576.5,1311.3,742.1
8/1/2018,2977.8,1534.976672,840.02488,268.4511082,283.5565519,50.79078746,2937.3,1514.1,828.6
7/1/2018,2765.8,1430.184264,783.104438,262.3187012,243.0603731,47.13222414,2728.7,1411.1,772.6
6/1/2018,2878.8,1545.93029,775.3459933,265.7431779,240.6176315,51.16290692,2841.5,1525.9,765.3
5/1/2018,2907.4,1567.027983,768.7651349,271.5614183,248.4498082,51.59565581,2868.2,1545.9,758.4
4/1/2018,2639.5,1387.02978,705.3967527,248.198915,252.7688623,46.10569043,2599.1,1365.7,694.6
3/1/2018,2701.6,1348.210607,766.0541402,250.0033528,291.3320955,45.99980455,2660.5,1327.7,754.4
2/1/2018,2417.9,1196.343003,695.7232234,224.0792028,264.9502733,36.80429737,2378.2,1176.7,684.3
1/1/2018,2758.1,1405.779321,759.7021704,258.6544513,294.5306876,39.43337018,2713.8,1383.2,747.5
12/1/2017,2580.4,1303.390154,746.6641869,237.3213117,250.9173168,42.10703051,2543.2,1284.7,735.9
11/1/2017,2762.8,1386.974248,815.6645048,267.969303,246.9898606,45.20208364,2726,1368.4,804.8
10/1/2017,2801.3,1422.270465,809.164962,256.4950169,265.5501762,47.81938038,2753.3,1397.9,795.3
9/1/2017,2698.9,1409.686496,759.5390025,227.8312013,253.755769,48.08753155,2654.7,1386.6,747.1
8/1/2017,2943.5,1574.430233,799.9423945,245.1141947,269.3518002,54.66137812,2902.5,1552.5,788.8
7/1/2017,2612,1430.909401,681.5543398,223.5700927,228.840104,47.12606216,2577.3,1412,672.5
6/1/2017,2859,1604.424991,704.1592343,254.9891528,239.8884438,55.53817795,2821,1583.1,694.8
5/1/2017,2753.8,1549.152068,677.6398378,235.1844674,240.7671802,51.05644674,2713,1526.2,667.6
4/1/2017,2463.3,1352.732623,619.3294887,214.8403918,231.7025691,44.69492784,2425,1331.6,609.7
3/1/2017,2768.3,1435.493814,776.0990754,234.7290882,275.3572299,46.62079252,2725.5,1413.3,764.1
2/1/2017,2369.2,1221.8746,645.4150333,205.5442455,257.5151062,38.85101524,2329.5,1201.4,634.6
